ticket_id,created_date,priority,category,customer_segment,customer_name,subject,description,resolution_status,time_to_resolve_hours,agent_notes
TK-1211,2026-02-15,medium,feature_request,mid_market,CrossPoint Analytics,"Custom fields on tasks","Every team tracks different metadata. Marketing needs campaign IDs. Engineering needs story points. Sales needs deal values. The fixed field set doesn't work when you have diverse teams on one platform. Custom fields would let each team configure what they need.",open,0,"Custom fields on Q2 roadmap. High-frequency request across mid-market and enterprise."
TK-1212,2026-02-17,low,ux,startup,FlowState Labs,"Mobile app crashes on Android","App crashes 2-3 times per hour on my Samsung Galaxy S24. Works fine on my colleague's iPhone. We've reported this before (TK-1056, TK-1098). Still happening. Starting to wonder if Android is a priority for you.",open,0,"Android crash reports show OOM error on project list with images. Known issue, fix requires image lazy loading refactor. Scheduled for March."
TK-1213,2026-02-18,high,feature_request,enterprise,Meridian Corp,"Audit logs for compliance","We need to see who changed what, when, and why. Our legal team requires audit trails for all business tools. Without audit logs, we fail our SOC 2 preparation. This is connected to our renewal decision (see TK-1202).",open,0,"Audit logging on Q3 roadmap. Connected to TK-1202 SSO request. Meridian renewal at risk."
TK-1214,2026-02-19,medium,feature_request,mid_market,GreenPath Studios,"Gantt chart / timeline view","We do sequential project work (design > dev > QA > launch) and the board view doesn't show dependencies or timeline. We can see what's in each column but not how tasks connect or when things are supposed to happen. A timeline view would be huge for us.",open,0,"Timeline view on Q2 roadmap. Top-requested feature in mid-market segment."
TK-1215,2026-02-20,low,feature_request,startup,IndieTrack,"Duplicate project as template","I create the same project structure every month for client onboarding. 8 task groups, 35 tasks, same every time. Building it from scratch each time takes 20 minutes. Let me duplicate or template it.",closed,1,"Project templates on backlog. Workaround: export project as JSON via API, re-import."
TK-1216,2026-02-21,medium,integration,mid_market,BrightWave Digital,"Slack integration stopped working after update","Our Slack integration was working fine until last week's update. Now task creation from Slack messages fails silently -- the slash command responds with 'Task created!' but nothing appears in TaskFlow. Affecting our whole team's workflow.",resolved,36,"OAuth token expired during platform update. Re-authentication flow triggered. Added monitoring for integration token expiry."
TK-1217,2026-02-24,high,bug,enterprise,NovaTech Industries,"Search doesn't find tasks in archived projects","I searched for a task I know exists but search returned no results. Turns out it's in an archived project. If you archive a project, those tasks should still be searchable. We archive completed projects quarterly and need to reference them.",resolved,12,"Search index excludes archived projects by design. Updated to include archived content with [Archived] label. Deployed Feb 26."
TK-1218,2026-02-25,critical,performance,enterprise,Pinnacle Group,"API response time 10x slower this week","Our custom integration calls your API 200+ times per hour. Response times went from ~200ms to 2000ms+ starting Monday. This is breaking our automated workflows. We built our internal tooling on top of your API and this is causing downstream failures.",resolved,6,"Database connection pool exhausted due to unoptimized query in new analytics feature. Pool size increased, query optimized. Response times back to normal."
TK-1219,2026-02-26,low,ux,startup,FlowState Labs,"Dark mode please","Light mode strains my eyes during late-night work sessions. Almost every tool I use has dark mode now. Would be a nice addition.",closed,0,"Logged. Dark mode on wishlist, no timeline."
TK-1220,2026-02-28,medium,feature_request,mid_market,CrossPoint Analytics,"Bulk edit tasks","I need to reassign 40 tasks from one team member to another. Currently I have to open each task individually and change the assignee. This takes 20 minutes. A bulk select + bulk edit would save significant time for team leads managing reassignments.",open,0,"Bulk operations on Q2 backlog. Common request from teams with 20+ users."
